url_from,url_to
https://www.data-blogger.com/category/book-review/,https://www.data-blogger.com/nl/
https://www.data-blogger.com/category/book-review/,https://www.data-blogger.com/zh/
https://www.data-blogger.com/category/book-review/,https://www.data-blogger.com/2018/08/01/15-books-every-college-student-needs-to-read-before-graduating/
https://www.data-blogger.com/category/book-review/,https://www.data-blogger.com/author/writer_olaila/
https://www.data-blogger.com/category/book-review/,https://www.addtoany.com/add_to/flipboard?linkname=15+Books+Every+College+Student+Needs+to+Read+before+Graduating&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F08%2F01%2F15-books-every-college-student-needs-to-read-before-graduating%2F
https://www.data-blogger.com/category/book-review/,https://www.addtoany.com/add_to/google_plus?linkname=15+Books+Every+College+Student+Needs+to+Read+before+Graduating&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F08%2F01%2F15-books-every-college-student-needs-to-read-before-graduating%2F
https://www.data-blogger.com/category/book-review/,https://www.addtoany.com/add_to/linkedin?linkname=15+Books+Every+College+Student+Needs+to+Read+before+Graduating&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F08%2F01%2F15-books-every-college-student-needs-to-read-before-graduating%2F
https://www.data-blogger.com/category/book-review/,https://www.addtoany.com/add_to/twitter?linkname=15+Books+Every+College+Student+Needs+to+Read+before+Graduating&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F08%2F01%2F15-books-every-college-student-needs-to-read-before-graduating%2F
https://www.data-blogger.com/category/book-review/,https://www.addtoany.com/add_to/facebook?linkname=15+Books+Every+College+Student+Needs+to+Read+before+Graduating&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F08%2F01%2F15-books-every-college-student-needs-to-read-before-graduating%2F
https://www.data-blogger.com/category/book-review/,https://www.addtoany.com/add_to/copy_link?linkname=15+Books+Every+College+Student+Needs+to+Read+before+Graduating&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F08%2F01%2F15-books-every-college-student-needs-to-read-before-graduating%2F
https://www.data-blogger.com/category/book-review/,https://www.data-blogger.com/2017/11/03/book-month-pattern-recognition-machine-learning/
https://www.data-blogger.com/category/book-review/,https://www.data-blogger.com/author/admin/
